"rowid","content","content_clean","label","hashtags_count","mentions_count","url_count","content_length","vocab_richness","n_capital_letters","n_punctuation_marks","n_curses","unique_words","total_words","numbers_count","anger","anticipation","disgust","fear","joy","sadness","surprise","trust","negative","positive","afinn_sentiment","verbs","adjectives","nouns"
4030,"What type of weather do you enjoy the the most?","what type of weather do you enjoy the the most","0",0,0,0,47,0.9,1,1,0,9,10,0,0,1,0,0,1,0,0,1,0,1,2,1,0,2
4031,"What vegetable do you most resemble?","what vegetable do you most resemble","0",0,0,0,36,1,1,1,0,6,6,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2
4032,"What video game have you played the most?","what video game have you played the most","0",0,0,0,41,1,1,1,0,8,8,0,0,0,0,0,0,0,0,0,0,0,0,1,0,2
4033,"What was cured ham  cured of?","what was cured ham cured of","0",0,0,0,29,0.833333333333333,1,1,0,5,6,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0
4034,"What was name of your first pet and why did you give it that name.","what was name of your first pet and why did you give it that name","0",0,0,0,66,1,1,1,0,14,15,0,0,0,0,0,0,0,0,0,1,0,0,1,1,3
4035,"What was so great about jumping on the bed as a kid?","what was so great about jumping on the bed as a kid","0",0,0,0,52,1,1,1,0,12,12,0,0,0,0,0,0,0,0,0,0,0,3,1,1,2
4036,"What was the best advice you&;ve ever received?","what was the best advice youve ever received","0",0,0,0,47,1,1,3,0,8,8,0,0,0,0,0,0,0,0,1,0,1,3,1,1,1
4037,"What was the best concert you went to?","what was the best concert you went to","0",0,0,0,38,1,1,1,0,8,8,0,0,0,0,0,0,0,0,0,0,0,3,1,1,1
4038,"What was the craziest dream you ever had about?","what was the craziest dream you ever had about","0",0,0,0,47,1,1,1,0,9,9,0,0,0,0,0,0,0,0,0,0,0,-1,1,1,1
4039,"What was the easiest time in you life?","what was the easiest time in you life","0",0,0,0,38,1,1,1,0,8,8,0,0,1,0,0,0,0,0,0,0,0,0,0,1,2
4040,"What was the first thing you thought when you woke up?","what was the first thing you thought when you woke up","0",0,0,0,54,0.909090909090909,1,1,0,10,11,0,0,1,0,0,0,0,0,0,0,0,0,2,1,1
4041,"What was the happiest moment in your life?","what was the happiest moment in your life","0",0,0,0,42,1,1,1,0,8,8,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2
4042,"What was the last book you read?","what was the last book you read","0",0,0,0,32,1,1,1,0,7,7,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1
4043,"What was the last fight you got into?","what was the last fight you got into","0",0,0,0,37,1,1,1,0,8,8,0,1,0,0,1,0,0,0,0,1,0,-1,1,1,1
4044,"What was the last gift that you gave someone?","what was the last gift that you gave someone","0",0,0,0,45,1,1,1,0,9,9,0,0,1,0,0,1,0,1,0,0,1,2,1,1,1
4045,"what was the last gift you gave?","what was the last gift you gave","0",0,0,0,32,1,0,1,0,7,7,0,0,1,0,0,1,0,1,0,0,1,2,1,1,1
4046,"What was the last thing to scare you?","what was the last thing to scare you","0",0,0,0,37,1,1,1,0,8,8,0,1,1,0,1,0,0,1,0,1,0,-2,1,1,1
4047,"What was the last thing you ate?","what was the last thing you ate","0",0,0,0,32,1,1,1,0,7,7,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1
4048,"What was the last thing you made with your own hands?","what was the last thing you made with your own hands","0",0,0,0,53,1,1,1,0,11,11,0,0,0,0,0,0,0,0,0,0,0,0,1,2,2
4049,"What was the last thing you quit?","what was the last thing you quit","0",0,0,0,33,1,1,1,0,7,7,0,0,0,0,0,0,0,0,0,1,0,0,1,1,1
4050,"What was the most interesting place you&;ve traveled to?","what was the most interesting place youve traveled to","0",0,0,0,56,1,1,3,0,9,9,0,0,0,0,0,0,0,0,0,0,1,2,1,1,1
4051,"What was the most painful thing you had to tell someone?","what was the most painful thing you had to tell someone","0",0,0,0,56,1,1,1,0,11,11,0,1,0,1,1,0,1,0,0,1,0,0,2,1,1
4052,"what was the weirdest thing you have seen?","what was the weirdest thing you have seen","0",0,0,0,42,1,0,1,0,8,8,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1
4053,"What was the worst place you&;ve traveled to?","what was the worst place youve traveled to","0",0,0,0,45,1,1,3,0,8,8,0,0,0,0,0,0,0,0,0,0,0,-3,1,1,1
4054,"what was ur favorite song???","what was ur favorite song","0",0,0,0,28,1,0,3,0,5,5,0,0,0,0,0,1,0,0,1,0,1,2,0,1,1
4055,"What was your childhood nickname?","what was your childhood nickname","0",0,0,0,33,1,1,1,0,5,5,0,0,0,0,0,1,0,0,0,0,1,0,0,0,2
4056,"What was your fav show as a child?","what was your fav show as a child","0",0,0,0,34,1,1,1,0,8,8,0,0,1,0,0,1,0,0,1,0,1,0,1,0,2
4057,"What was your favorite birthday gift?","what was your favorite birthday gift","0",0,0,0,37,1,1,1,0,6,6,0,0,2,0,0,3,0,2,1,0,3,4,0,1,2
4058,"What was your favorite toy to play with as a child?","what was your favorite toy to play with as a child","0",0,0,0,51,1,1,1,0,11,11,0,0,1,0,0,2,0,0,1,0,2,2,1,1,2
4059,"What was your favorite year?","what was your favorite year","0",0,0,0,28,1,1,1,0,5,5,0,0,0,0,0,1,0,0,1,0,1,2,0,1,1
4060,"What was your first love like?","what was your first love like","0",0,0,0,30,1,1,1,0,6,6,0,0,0,0,0,1,0,0,0,0,1,5,0,1,1
4061,"what was your longest relationship","what was your longest relationship","0",0,0,0,34,1,0,0,0,5,5,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1
4062,"What was your worst travel experience?","what was your worst travel experience","0",0,0,0,38,1,1,1,0,6,6,0,0,0,0,0,0,0,0,0,0,0,-3,0,1,2
4063,"What website do you spend the most time on?","what website do you spend the most time on","0",0,0,0,43,1,1,1,0,9,9,0,0,1,0,0,0,0,0,0,0,0,0,1,1,2
4064,"What were you doing the last time you really had a good laugh?","what were you doing the last time you really had a good laugh","0",0,0,0,62,0.923076923076923,1,1,0,12,13,0,0,2,0,0,2,0,2,1,0,2,4,2,2,2
4065,"What were you doing when you found out Michael Jackson was dead?","what were you doing when you found out michael jackson was dead","0",0,0,0,64,0.916666666666667,3,1,0,11,12,0,0,0,0,0,1,0,0,1,0,1,-3,2,2,1
4066,"what were you in middle school?(emo/prep/jock etc?) ya know. lol","what were you in middle schoolemoprepjock etc ya know lol","0",0,0,0,64,1,0,7,0,10,10,0,0,0,0,0,0,0,0,0,0,0,3,1,1,1
4067,"What were you like as a kid?","what were you like as a kid","0",0,0,0,28,1,1,1,0,7,7,0,0,0,0,0,0,0,0,0,0,0,2,1,0,1
4068,"what will you do f you found out that you are adopted?","what will you do f you found out that you are adopted","0",0,0,0,54,0.833333333333333,0,1,0,10,12,0,0,0,0,0,1,0,0,1,0,1,0,3,0,0
4069,"What wood yuh do fo meh???","what wood yuh do fo meh","0",0,0,0,26,1,1,3,0,6,6,0,0,0,0,0,0,0,0,0,0,0,0,1,0,3
4070,"What would a chair look like if your knees bent the other way?","what would a chair look like if your knees bent the other way","0",0,0,0,62,1,1,1,0,13,13,0,0,0,0,0,0,0,0,0,0,0,2,2,1,3
4071,"What would be harder for you  to tell someone you love them or that you do not love them back?","what would be harder for you to tell someone you love them or that you do not love them back","0",0,0,0,94,0.8,1,1,0,16,20,0,0,0,0,0,1,0,0,0,0,1,6,3,1,0
4072,"What would be the best thing about being a vampire?","what would be the best thing about being a vampire","0",0,0,0,51,1,1,1,0,10,10,0,1,0,1,1,0,0,0,0,1,0,3,0,1,2
4073,"What would be the first three words you would teach a parrot  if you had one?","what would be the first three words you would teach a parrot if you had one","0",0,0,0,77,0.875,1,1,0,14,16,0,1,0,1,0,1,0,1,1,2,1,0,2,1,2
4074,"What would be the single most worst thing for you to hear?","what would be the single most worst thing for you to hear","0",0,0,0,58,1,1,1,0,12,12,0,0,0,0,0,0,0,0,0,0,0,-3,1,1,1
4075,"What would be the worst disease to have?","what would be the worst disease to have","0",0,0,0,40,1,1,1,0,8,8,0,1,0,1,1,0,1,0,0,1,0,-3,1,1,1
4076,"What would be worse; Finding out there is life in space or finding out that there isn&;t?","what would be worse finding out there is life in space or finding out that there isnt","0",0,0,0,89,0.882352941176471,2,4,0,14,17,0,0,0,0,1,0,1,0,0,1,0,-3,4,1,2
4077,"what would be your course if your current course didn&;t exist?","what would be your course if your current course didnt exist","0",0,0,0,63,0.818181818181818,0,3,0,9,11,0,0,0,0,0,0,0,0,0,0,0,0,1,1,2
4078,"What would happen if you get scared half to death twice? Do you die?","what would happen if you get scared half to death twice do you die","0",0,0,0,68,0.928571428571429,2,2,0,13,14,0,1,2,1,2,0,2,1,0,2,0,-7,3,1,2
4079,"what would the worse prank EVER be?","what would the worse prank ever be","0",0,0,0,35,1,1,1,0,7,7,0,0,0,0,1,0,1,1,0,2,0,-3,0,1,1
4080,"What would you consider a serious question?","what would you consider a serious question","0",0,0,0,43,1,1,1,0,7,7,0,0,0,0,0,0,0,0,0,0,1,0,1,1,1
4081,"What would you do if a leprecon jumped out of the r bushes and stole your wallet? I would be scarred for life!","what would you do if a leprecon jumped out of the r bushes and stole your wallet i would be scarred for life","0",0,0,0,110,0.956521739130435,2,2,0,22,23,0,0,0,0,0,0,0,0,0,0,0,0,4,0,5
4082,"What would you do if somehow you caught a STD?","what would you do if somehow you caught a std","0",0,0,0,46,0.9,2,1,0,9,10,0,0,0,0,0,0,0,0,0,0,0,0,2,0,1
4083,"What would you do if the cops busted in your door?","what would you do if the cops busted in your door","0",0,0,0,50,1,1,1,0,11,11,0,1,0,0,1,0,0,0,0,1,0,0,2,0,2
4084,"What would you do if you found $100 at a movie theater?","what would you do if you found at a movie theater","0",0,0,0,55,0.916666666666667,1,1,0,10,11,1,0,0,0,0,1,0,0,1,0,1,0,2,0,2
4085,"What would you do if you found out the car you were in was stolen?","what would you do if you found out the car you were in was stolen","0",0,0,0,66,0.866666666666667,1,1,0,13,15,0,1,0,0,0,1,0,0,1,1,1,-2,3,0,1
4086,"What would you do if you found the wallet of your next-door neighbor who you hated?","what would you do if you found the wallet of your nextdoor neighbor who you hated","0",0,0,0,83,0.875,1,2,0,14,16,0,0,1,0,0,1,0,0,2,0,2,-3,3,1,2
4087,"What would you do if you had a child that was a killer?","what would you do if you had a child that was a killer","0",0,0,0,55,0.846153846153846,1,1,0,11,13,0,0,1,0,0,1,0,0,0,0,1,0,2,0,2
4088,"What would you do if you lost your bathing suit while you were swimming?","what would you do if you lost your bathing suit while you were swimming","0",0,0,0,72,0.857142857142857,1,1,0,12,14,0,0,0,0,0,0,1,0,0,1,0,-3,3,0,2
4089,"What would you do if your partner cheated on you?","what would you do if your partner cheated on you","0",0,0,0,49,1,1,1,0,9,10,0,0,0,0,0,0,0,0,0,0,1,-3,2,0,1
4090,"what would you like for your birthday? :)","what would you like for your birthday","0",0,0,0,41,1,0,3,0,7,7,0,0,1,0,0,1,0,1,0,0,1,2,1,0,1
4091,"What would you like to have named after you?","what would you like to have named after you","0",0,0,0,44,1,1,1,0,8,9,0,0,0,0,0,0,0,0,0,0,0,2,2,0,0
4092,"What would you like to hear more about?","what would you like to hear more about","0",0,0,0,39,1,1,1,0,8,8,0,0,0,0,0,0,0,0,0,0,0,2,2,1,0
4093,"What would you want to be written on your tombstone?","what would you want to be written on your tombstone","0",0,0,0,52,1,1,1,0,10,10,0,0,0,0,0,0,0,0,0,0,0,1,2,0,1
4094,"What would your dream job look like?","what would your dream job look like","0",0,0,0,36,1,1,1,0,7,7,0,0,0,0,0,0,0,0,0,0,1,3,1,0,2
4095,"What would your perfect day look like?","what would your perfect day look like","0",0,0,0,38,1,1,1,0,7,7,0,0,1,0,0,1,0,0,1,0,1,5,1,1,1
4096,"what your fave band?","what your fave band","0",0,0,0,20,1,0,1,0,4,4,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1
4097,"what your fave colour?","what your fave colour","0",0,0,0,22,1,0,1,0,4,4,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1
4098,"What YouTube video made you laugh recently?","what youtube video made you laugh recently","0",0,0,0,43,1,2,1,0,7,7,0,0,0,0,0,1,0,1,0,0,1,1,2,0,1
4099,"what&; your favorite blink 182 song?","what your favorite blink song","0",0,0,0,36,1,0,3,0,5,5,1,0,0,0,0,1,0,0,1,0,1,2,0,1,2
4100,"what&;re you holding in your photo? lol just curious :]","whatre you holding in your photo lol just curious","0",0,0,0,55,1,0,5,0,9,9,0,0,0,0,0,0,0,0,0,0,0,4,1,1,1
4101,"what&;re you wearing right now?","whatre you wearing right now","0",0,0,0,31,1,0,3,0,5,5,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
4102,"What&;s a subject you wish you knew more about?","whats a subject you wish you knew more about","0",0,0,0,47,0.888888888888889,1,3,0,8,9,0,0,0,0,0,0,0,0,0,1,0,1,3,1,1
4103,"What&;s a word that rhymes with &quot;DOOR?&quot;","whats a word that rhymes with quotdoorquot","0",0,0,0,49,1,2,7,0,7,7,0,0,0,0,0,0,0,0,1,0,1,0,2,0,2
4104,"What&;s a word that rhymes with TEST?","whats a word that rhymes with test","0",0,0,0,37,1,2,3,0,7,7,0,0,0,0,0,0,0,0,1,0,1,0,2,0,2
4105,"what&;s heaven for you?","whats heaven for you","0",0,0,0,23,1,0,3,0,4,4,0,0,0,0,0,0,0,0,0,0,0,2,1,0,1
4106,"What&;s one food you&;ll never eat again?","whats one food youll never eat again","0",0,0,0,41,1,1,5,0,7,7,0,0,0,0,0,1,0,0,1,0,2,0,1,0,2
4107,"What&;s one thing you hate the feeling of?","whats one thing you hate the feeling of","0",0,0,0,42,1,1,3,0,8,8,0,2,1,2,2,1,2,1,1,2,1,-2,1,0,3
4108,"What&;s one thing you own that you should probably throw away  but never will?","whats one thing you own that you should probably throw away but never will","0",0,0,0,78,0.928571428571429,1,3,0,13,14,0,0,0,0,0,0,0,0,0,0,0,0,2,0,2
4109,"What&;s one thing you&;d like to do but haven&;t done yet?","whats one thing youd like to do but havent done yet","0",0,0,0,58,1,1,7,0,11,11,0,0,0,0,0,0,0,0,0,0,0,2,3,0,3
4110,"What&;s something that no one else knows about you?","whats something that no one else knows about you","0",0,0,0,51,1,1,3,0,9,9,0,0,0,0,0,0,0,0,0,0,0,-1,2,1,1
4111,"What&;s something unique about Ohio? :)","whats something unique about ohio","0",0,0,0,39,1,2,5,0,5,5,0,0,0,0,0,0,0,1,0,0,1,0,1,1,0
4112,"what&;s something you&;d change about urself?","whats something youd change about urself","0",0,0,0,45,1,0,5,0,6,6,0,0,0,0,1,0,0,0,0,0,0,0,2,0,0
4113,"What&;s the best invention EVER made?","whats the best invention ever made","0",0,0,0,37,1,2,3,0,6,6,0,0,0,0,0,0,0,0,0,0,0,3,1,1,2
4114,"What&;s the best place near you to get a drink?","whats the best place near you to get a drink","0",0,0,0,47,1,1,3,0,10,10,0,0,0,0,0,0,0,0,0,0,0,3,1,1,3
4115,"What&;s the best place near you to get some ice cream?","whats the best place near you to get some ice cream","0",0,0,0,54,1,1,3,0,11,11,0,0,1,0,0,1,0,1,0,0,1,3,1,1,4
4116,"what&;s the best thing about your boyfriend?","whats the best thing about your boyfriend","0",0,0,0,44,1,0,3,0,7,7,0,0,0,0,0,0,0,0,0,0,0,3,0,1,3
4117,"what&;s the first job you had?","whats the first job you had","0",0,0,0,30,1,0,3,0,6,6,0,0,0,0,0,0,0,0,0,0,1,0,2,1,1
4118,"what&;s the funnest place you have ever traveled?","whats the funnest place you have ever traveled","0",0,0,0,49,1,0,3,0,8,8,0,0,0,0,0,0,0,0,0,0,0,0,2,1,1
4119,"What&;s the furthest you&;ve ever traveled?","whats the furthest youve ever traveled","0",0,0,0,43,1,1,5,0,6,6,0,0,0,0,0,0,0,0,0,0,0,0,2,1,0
4120,"what&;s the Kindest thing anyone has ever done for you ??","whats the kindest thing anyone has ever done for you","0",0,0,0,57,1,1,4,0,10,10,0,0,0,0,0,0,0,0,0,0,0,0,2,1,1
4121,"What&;s the last furry thing you touched?","whats the last furry thing you touched","0",0,0,0,41,1,1,3,0,7,7,0,0,0,0,0,0,0,0,0,1,0,0,2,1,2
4122,"what&;s the last thing you ate?","whats the last thing you ate","0",0,0,0,31,1,0,3,0,6,6,0,0,0,0,0,0,0,0,0,0,0,0,2,1,1
4123,"what&;s the last thing you said to your sibling?","whats the last thing you said to your sibling","0",0,0,0,48,1,0,3,0,9,9,0,0,0,0,0,0,0,0,0,0,0,0,2,1,2
4124,"What&;s the longest relationship you have had?","whats the longest relationship you have had","0",0,0,0,46,1,1,3,0,7,7,0,0,0,0,0,0,0,0,0,0,0,0,2,1,1
4125,"What&;s the longest you&;ve ever gone without a bath or shower?","whats the longest youve ever gone without a bath or shower","0",0,0,0,63,1,1,5,0,11,11,0,0,0,0,0,0,0,0,0,0,1,0,2,0,2
4126,"What&;s the most recent movie you&;ve seen in theaters?","whats the most recent movie youve seen in theaters","0",0,0,0,55,1,1,5,0,9,9,0,0,0,0,0,0,0,0,0,0,0,0,2,1,2
4127,"What&;s the most spontaneous thing you&;ve ever done?","whats the most spontaneous thing youve ever done","0",0,0,0,53,1,1,5,0,8,8,0,0,0,0,0,0,0,0,0,0,0,0,2,1,1
4128,"What&;s the nicest thing someone&;s ever done for you?","whats the nicest thing someones ever done for you","0",0,0,0,54,1,1,5,0,9,9,0,0,0,0,0,0,0,0,0,0,0,0,2,1,2
4129,"What&;s the number one thing you want to achieve in your life?","whats the number one thing you want to achieve in your life","0",0,0,0,62,1,1,3,0,12,12,0,0,0,0,0,1,0,0,1,0,1,1,3,0,3
4130,"What&;s the quickest you&;ve fell for someone?","whats the quickest youve fell for someone","0",0,0,0,46,1,1,5,0,7,7,0,0,0,0,0,0,1,0,0,1,0,0,1,1,1
4131,"What&;s the secret to happiness?","whats the secret to happiness","0",0,0,0,32,1,1,3,0,5,5,0,0,1,0,0,1,0,0,1,0,1,3,1,0,2
4132,"What&;s the weirdest thing you&;ve ever eaten?","whats the weirdest thing youve ever eaten","0",0,0,0,46,1,1,5,0,7,7,0,0,0,0,0,0,0,0,0,0,0,0,2,1,1
4133,"what&;s the worst drink ever?","whats the worst drink ever","0",0,0,0,29,1,0,3,0,5,5,0,0,0,0,0,0,0,0,0,0,0,-3,1,1,1
4134,"What&;s the worst thing about where you live?","whats the worst thing about where you live","0",0,0,0,45,1,1,3,0,8,8,0,0,0,0,0,0,0,0,0,0,0,-3,2,1,1
4135,"what&;s up?","whats up","0",0,0,0,11,1,0,3,0,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
4136,"What&;s usually colder  your hands or your feet?","whats usually colder your hands or your feet","0",0,0,0,48,0.875,1,3,0,7,8,0,0,0,0,0,0,0,0,0,0,0,0,1,0,3
4137,"what&;s yer bra sizee haha?","whats yer bra sizee haha","0",0,0,0,27,1,0,3,0,5,5,0,0,0,0,0,0,0,0,0,0,0,3,0,0,3
4138,"What&;s your best quote?","whats your best quote","0",0,0,0,24,1,1,3,0,4,4,0,0,1,0,0,0,0,1,0,1,1,3,1,1,1
4139,"What&;s your best trick?","whats your best trick","0",0,0,0,24,1,1,3,0,4,4,0,0,0,0,0,0,0,1,0,1,0,3,1,1,1
4140,"What&;s your biggest phobia?","whats your biggest phobia","0",0,0,0,28,1,1,3,0,4,4,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1
4141,"What&;s your dream car?","whats your dream car","0",0,0,0,23,1,1,3,0,4,4,0,0,0,0,0,0,0,0,0,0,0,1,1,0,2
4142,"what&;s your fave song?","whats your fave song","0",0,0,0,23,1,0,3,0,4,4,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1
4143,"What&;s your favorite drink?","whats your favorite drink","0",0,0,0,28,1,1,3,0,4,4,0,0,0,0,0,1,0,0,1,0,1,2,1,1,1
4144,"What&;s your favorite flavor of jello?","whats your favorite flavor of jello","0",0,0,0,38,1,1,3,0,6,6,0,0,0,0,0,1,0,0,1,0,1,2,1,1,2
4145,"What&;s your favorite food?","whats your favorite food","0",0,0,0,27,1,1,3,0,4,4,0,0,0,0,0,2,0,0,2,0,2,2,1,1,1
4146,"What&;s your favorite genre of music?","whats your favorite genre of music","0",0,0,0,37,1,1,3,0,6,6,0,0,0,0,0,2,1,0,1,0,2,2,1,1,2
4147,"What&;s your favorite John Hughes film?  (80&;s film director)","whats your favorite john hughes film s film director","0",0,0,0,62,1,3,7,0,8,9,1,0,0,1,0,1,0,0,2,1,2,2,1,1,5
4148,"What&;s your favorite kind of cookie?","whats your favorite kind of cookie","0",0,0,0,37,1,1,3,0,6,6,0,0,0,0,0,2,0,0,2,0,2,4,1,1,2
4149,"What&;s your favorite kind of flower","whats your favorite kind of flower","0",0,0,0,36,1,1,2,0,6,6,0,0,0,0,0,2,0,0,2,0,2,4,1,1,2
4150,"What&;s your favorite kind of sandwich?","whats your favorite kind of sandwich","0",0,0,0,39,1,1,3,0,6,6,0,0,0,0,0,2,0,0,2,0,2,4,1,1,2
4151,"What&;s your favorite movie quote?","whats your favorite movie quote","0",0,0,0,34,1,1,3,0,5,5,0,0,1,0,0,1,0,1,1,1,2,2,1,1,2
4152,"What&;s your favorite music genre?","whats your favorite music genre","0",0,0,0,34,1,1,3,0,5,5,0,0,0,0,0,2,1,0,1,0,2,2,1,1,2
4153,"What&;s your favorite music video?","whats your favorite music video","0",0,0,0,34,1,1,3,0,5,5,0,0,0,0,0,2,1,0,1,0,2,2,1,1,2
4154,"What&;s your favorite place to be kissed?:","whats your favorite place to be kissed","0",0,0,0,42,1,1,4,0,7,7,0,0,0,0,0,1,0,0,1,0,1,2,2,1,1
4155,"what&;s your favorite song? :D<br>","whats your favorite song d","0",0,0,0,34,1,1,4,0,5,5,0,0,0,0,0,1,0,0,1,0,1,2,1,1,1
4156,"what&;s your favorite tv show?","whats your favorite tv show","0",0,0,0,30,1,0,3,0,5,5,0,0,0,0,0,1,0,0,2,0,1,2,1,1,2
4157,"What&;s your favorite type of flower?","whats your favorite type of flower","0",0,0,0,37,1,1,3,0,6,6,0,0,0,0,0,1,0,0,1,0,1,2,1,1,2
4158,"What&;s your favorite way of making people smile?","whats your favorite way of making people smile","0",0,0,0,49,1,1,3,0,8,8,0,0,0,0,0,2,0,1,2,0,2,4,3,1,2
4159,"what&;s your favourite colour?","whats your favourite colour","0",0,0,0,30,1,0,3,0,4,4,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1
4160,"What&;s your favourite comedy on the tv?","whats your favourite comedy on the tv","0",0,0,0,40,1,1,3,0,7,7,0,0,0,0,0,0,0,0,0,0,0,1,1,1,2
4161,"What&;s your favourite part to watch in Rent?","whats your favourite part to watch in rent","0",0,0,0,45,1,2,3,0,8,8,0,0,1,0,1,0,0,0,0,0,0,0,2,1,2
4162,"What&;s your favv waterpark to go to? :]","whats your favv waterpark to go to","0",0,0,0,40,1,1,5,0,6,7,0,0,0,0,0,0,0,0,0,0,0,0,2,0,2
4163,"What&;s your funny story?","whats your funny story","0",0,0,0,25,1,1,3,0,4,4,0,0,0,0,0,0,0,0,0,0,0,4,1,1,1
4164,"what&;s your most used word?","whats your most used word","0",0,0,0,28,1,0,3,0,5,5,0,0,0,0,0,0,0,0,1,0,1,0,2,0,1
4165,"what&;s your nationality?","whats your nationality","0",0,0,0,25,1,0,3,0,3,3,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1
4166,"What&;s your number?","whats your number","0",0,0,0,20,1,1,3,0,3,3,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1
4167,"what&;s your real name?","whats your real name","0",0,0,0,23,1,0,3,0,4,4,0,0,0,0,0,0,0,0,1,0,1,0,1,1,1
4168,"What&;s your thoughts on fighting?","whats your thoughts on fighting","0",0,0,0,34,1,1,3,0,5,5,0,1,0,0,0,0,0,0,0,1,0,0,1,0,2
4169,"What&;s your thoughts on the Columbine tragedy? Why do you think it happened?","whats your thoughts on the columbine tragedy why do you think it happened","0",0,0,0,77,1,3,4,0,13,13,0,0,0,0,1,0,1,0,0,1,0,-2,3,0,3
4170,"What&;s your worst habit?","whats your worst habit","0",0,0,0,25,1,1,3,0,4,4,0,0,0,0,0,0,0,0,0,0,0,-3,1,1,1
4171,"What&;s yur fav color?","whats yur fav color","0",0,0,0,22,1,1,3,0,4,4,0,0,0,0,0,0,0,0,0,0,0,0,1,0,2
4172,"What&apos;s a saying you say a lot?","whataposs a saying you say a lot","0",0,0,0,35,0.857142857142857,1,3,0,6,7,0,0,0,0,0,0,0,0,0,0,0,0,3,0,1
4173,"What&apos;s your favorite flavored Pringles?","whataposs your favorite flavored pringles","0",0,0,0,44,1,2,3,0,5,5,0,0,0,0,0,1,0,0,1,0,1,2,2,0,2
4174,"WHATEVER. Im gunna leave before you guys cry &amp; get yourselves hurt  i mean your begging me to leave  bye pussys!!!!!!!!!!!!!","whatever im gunna leave before you guys cry amp get yourselves hurt i mean your begging me to leave bye pussys","1",0,0,0,128,0.952380952380952,2,16,0,20,21,0,1,1,0,1,0,3,1,0,4,0,-5,8,0,3
4175,"whats the craziest thing you have EVER done?","whats the craziest thing you have ever done","0",0,0,0,44,1,1,1,0,8,8,0,0,0,0,0,0,0,0,0,0,0,-2,2,1,1
4176,"whats the farthest youve been away from your hometown?","whats the farthest youve been away from your hometown","0",0,0,0,54,1,0,1,0,9,9,0,0,0,0,0,0,0,0,0,0,0,0,1,0,2
4177,"whats the most entertaining event youve ever been to?","whats the most entertaining event youve ever been to","0",0,0,0,53,1,0,1,0,9,9,0,0,1,0,0,1,0,0,0,0,1,2,1,1,1
4178,"whats the wierdest color you&;d ever dye your hair?","whats the wierdest color youd ever dye your hair","0",0,0,0,51,1,0,3,0,9,9,0,0,0,0,0,0,0,0,0,0,0,0,2,1,2
4179,"whats ur fav tv showww? :D <3","whats ur fav tv sho d","0",0,0,0,29,1,1,2,0,6,6,1,0,0,0,0,0,0,0,0,0,0,0,2,0,0
4180,"whats ur favorite band?","whats ur favorite band","0",0,0,0,23,1,0,1,0,4,4,0,0,0,0,0,1,0,0,1,0,1,2,1,1,1
4181,"whats ur myspace page??","whats ur myspace page","0",0,0,0,23,1,0,2,0,4,4,0,0,0,0,0,0,0,0,0,0,0,0,1,0,2
4182,"whats wrong?","whats wrong","0",0,0,0,12,1,0,1,0,2,2,0,0,0,0,0,0,0,0,0,1,0,-2,0,1,1
4183,"Whats yo fav position","whats yo fav position","0",0,0,0,21,1,1,0,0,4,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
4184,"whats you favorite movie of ALL TIME","whats you favorite movie of all time","0",0,0,0,36,1,2,0,0,7,7,0,0,1,0,0,1,0,0,1,0,1,2,1,1,2
4185,"Whats your favorite j. depp movie?","whats your favorite j depp movie","0",0,0,0,34,1,1,2,0,6,6,0,0,0,0,0,1,0,0,1,0,1,2,1,0,3
4186,"whats your favorite out on myspace and facebook?","whats your favorite out on myspace and facebook","0",0,0,0,48,1,0,1,0,8,8,0,0,0,0,0,1,0,0,1,0,1,2,1,0,3
4187,"whats your favourite number?","whats your favourite number","0",0,0,0,28,1,0,1,0,4,4,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1
4188,"Whats your favourite song out at the minute?","whats your favourite song out at the minute","0",0,0,0,44,1,1,1,0,8,8,0,0,0,0,0,0,0,0,0,0,0,0,1,1,2
4189,"Whats your IQ?","whats your iq","0",0,0,0,14,1,2,1,0,3,3,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1
4190,"Whatu2019s the best feeling in the world?","whatu s the best feeling in the world","0",0,0,0,41,0.857142857142857,1,1,0,7,8,0,1,1,1,1,1,1,1,1,1,1,4,0,1,2
4191,"when can i see u again?","when can i see u again","0",0,0,0,23,1,0,1,0,6,6,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
